palabra,rt,palabra_noaccents
encolar,518.63,encolar
encomendar,565.23,encomendar
encontrar,479.96,encontrar
encontrarse,486.87,encontrarse
encorsetar,552.76,encorsetar
encorvar,523.14,encorvar
encrespar,557.43,encrespar
encuadernar,573.0,encuadernar
encuadrar,514.8,encuadrar
encubrir,481.89,encubrir
encumbrar,573.25,encumbrar
encurtir,530.39,encurtir
enderezar,538.52,enderezar
endilgar,547.9,endilgar
endosar,561.32,endosar
endulzar,498.25,endulzar
endurecer,533.74,endurecer
energizar,553.92,energizar
enervar,520.53,enervar
enfadar,489.62,enfadar
enfadarse,498.09,enfadarse
enfatizar,508.32,enfatizar
enfermar,490.93,enfermar
enfermarse,515.45,enfermarse
enfervorizar,539.31,enfervorizar
enfilar,507.66,enfilar
enfocar,470.75,enfocar
enfrentar,480.3,enfrentar
enfrentarse,526.3,enfrentarse
enfriar,480.18,enfriar
enfriarse,520.79,enfriarse
enfurecer,479.51,enfurecer
engalanar,569.67,engalanar
enganchar,514.82,enganchar
engancharse,521.65,engancharse
engañar,491.15,enganar
engañarse,520.12,enganarse
engarzar,541.61,engarzar
engatillar,554.58,engatillar
engatusar,569.08,engatusar
engendrar,623.59,engendrar
englobar,496.64,englobar
engordar,508.4,engordar
engranar,567.26,engranar
engrandecer,554.34,engrandecer
engrapar,552.02,engrapar
engrasar,527.07,engrasar
engrosar,541.43,engrosar
engullir,535.5,engullir
enharinar,585.64,enharinar
enhebrar,557.05,enhebrar
enjabonar,534.79,enjabonar
enjaular,556.28,enjaular
enjugar,526.18,enjugar
enjuiciar,519.73,enjuiciar
enlatar,501.65,enlatar
enlazar,498.89,enlazar
enloquecer,509.35,enloquecer
enmarañar,539.85,enmaranar
enmarcar,527.31,enmarcar
enmascarar,496.31,enmascarar
enmendar,507.19,enmendar
enmudecer,575.43,enmudecer
enojar,470.35,enojar
enojarse,539.47,enojarse
enrarecer,595.99,enrarecer
enredar,527.33,enredar
enriquecer,525.07,enriquecer
enriquecerse,528.35,enriquecerse
enrojecer,521.37,enrojecer
enrollar,466.35,enrollar
enrollarse,474.01,enrollarse
ensalzar,507.16,ensalzar
ensamblar,580.09,ensamblar
ensanchar,526.93,ensanchar
ensangrentar,590.76,ensangrentar
ensañar,497.86,ensanar
ensartar,551.54,ensartar
ensayar,493.27,ensayar
enseñar,464.49,ensenar
enseñarse,550.79,ensenarse
ensillar,523.05,ensillar
ensimismar,542.79,ensimismar
ensimismarse,637.83,ensimismarse
ensombrecer,562.01,ensombrecer
ensordecer,519.18,ensordecer
ensuciar,528.18,ensuciar
entablar,534.5,entablar
entablillar,571.37,entablillar
entender,526.1,entender
entenderse,488.31,entenderse
enterar,518.5,enterar
enterarse,559.59,enterarse
enternecer,544.38,enternecer
enterrar,515.68,enterrar
enterrarse,515.47,enterrarse
entonar,496.44,entonar
entornar,556.32,entornar
entorpecer,522.41,entorpecer
entrampar,600.12,entrampar
entrañar,542.32,entranar
entrar,499.55,entrar
entreabrir,545.68,entreabrir
entrecerrar,596.71,entrecerrar
entrechocar,554.94,entrechocar
entrecomillar,622.87,entrecomillar
entregar,472.22,entregar
entregarse,531.5,entregarse
entrelazar,523.34,entrelazar
entremezclar,562.99,entremezclar
entrenar,522.98,entrenar
entrenarse,533.5,entrenarse
entresacar,612.23,entresacar
entretejer,495.79,entretejer
entretener,515.46,entretener
entretenerse,538.68,entretenerse
entrever,520.43,entrever
entrevistar,481.82,entrevistar
entrevistarse,540.58,entrevistarse
entristecer,577.64,entristecer
entristecerse,591.76,entristecerse
entroncar,512.46,entroncar
entronizar,540.31,entronizar
entubar,516.08,entubar
enturbiar,517.31,enturbiar
entusiasmar,510.4,entusiasmar
entusiasmarse,580.19,entusiasmarse
enumerar,524.22,enumerar
enunciar,508.71,enunciar
envainar,596.16,envainar
envasar,492.78,envasar
envejecer,505.4,envejecer
envenenar,496.32,envenenar
envestirse,536.52,envestirse
enviar,463.9,enviar
enviarse,485.47,enviarse
envidiar,502.77,envidiar
envilecer,587.14,envilecer
enviudar,558.46,enviudar
envolver,486.87,envolver
enyesar,558.15,enyesar
enzarzar,515.03,enzarzar
enzarzarse,544.66,enzarzarse
epatar,564.04,epatar
equilibrar,484.37,equilibrar
equipar,524.13,equipar
equiparar,503.45,equiparar
equipararse,569.42,equipararse
equivaler,496.62,equivaler
equivocar,472.41,equivocar
equivocarse,527.53,equivocarse
erguir,500.97,erguir
erigir,562.71,erigir
erizar,507.6,erizar
erosionar,582.45,erosionar
erradicar,522.82,erradicar
erradicarse,532.22,erradicarse
errar,511.92,errar
eructar,510.58,eructar
erupcionar,559.66,erupcionar
esbozar,496.69,esbozar
escabechar,581.55,escabechar
escabullir,567.14,escabullir
escalar,493.93,escalar
escaldar,517.85,escaldar
escalfar,547.94,escalfar
escalonar,526.9,escalonar
escamotear,602.69,escamotear
escampar,554.78,escampar
escanciar,569.66,escanciar
escandalizar,555.28,escandalizar
escandalizarse,544.69,escandalizarse
escandir,538.93,escandir
escapar,483.91,escapar
escaparse,507.92,escaparse
escaquear,533.01,escaquear
escarbar,585.12,escarbar
escardar,580.97,escardar
escarmentar,572.13,escarmentar
escasear,591.56,escasear
escatimar,497.53,escatimar
escenificar,582.36,escenificar
escindir,566.35,escindir
esclarecer,531.58,esclarecer
esclavizar,529.94,esclavizar
escobar,536.49,escobar
escoger,519.38,escoger
escolarizar,513.59,escolarizar
escoltar,527.36,escoltar
esconder,479.79,esconder
escorar,504.32,escorar
escribir,469.28,escribir
escribirse,486.37,escribirse
escriturar,502.17,escriturar
escrutar,524.76,escrutar
escuchar,483.25,escuchar
escucharse,538.42,escucharse
escudar,524.48,escudar
escudriñar,573.21,escudrinar
esculpir,519.06,esculpir
escupir,473.24,escupir
escurrir,506.67,escurrir
esforzar,506.09,esforzar
esforzarse,492.79,esforzarse
esgrimir,557.41,esgrimir
esmaltar,547.38,esmaltar
esmerilar,556.54,esmerilar
esnifar,522.73,esnifar
espabilar,499.78,espabilar
espabilarse,527.2,espabilarse
espaciar,471.47,espaciar
espantar,488.22,espantar
españolizar,512.84,espanolizar
esparcir,520.14,esparcir
especializar,515.11,especializar
especializarse,518.76,especializarse
especificar,540.79,especificar
especificarse,575.23,especificarse
especular,515.45,especular
esperar,478.88,esperar
esperarse,554.19,esperarse
espesar,473.16,espesar
espetar,555.68,espetar
espiar,470.98,espiar
espirar,520.43,espirar
espolear,500.85,espolear
espolvorear,569.13,espolvorear
esposar,536.23,esposar
esprintar,557.88,esprintar
espumar,491.13,espumar
esquematizar,503.01,esquematizar
esquiar,495.46,esquiar
esquilar,488.45,esquilar
esquilmar,523.46,esquilmar
esquivar,495.5,esquivar
estabilizar,484.42,estabilizar
estabilizarse,504.8,estabilizarse
establecer,485.7,establecer
establecerse,560.19,establecerse
estacionar,483.77,estacionar
estafar,515.65,estafar
estallar,483.81,estallar
estampar,509.95,estampar
estancar,501.51,estancar
estandarizar,511.56,estandarizar
estar,451.4,estar
estarse,522.89,estarse
estatalizar,637.04,estatalizar
estereotipar,569.81,estereotipar
esterilizar,549.23,esterilizar
estibar,501.52,estibar
estilizar,500.62,estilizar
estimar,464.4,estimar
estimular,493.85,estimular
estimularse,510.12,estimularse
estipular,538.62,estipular
estirar,494.8,estirar
estofar,542.38,estofar
estorbar,510.62,estorbar
estornudar,510.55,estornudar
estrangular,510.27,estrangular
estrechar,537.02,estrechar
estrellar,496.33,estrellar
estrellarse,530.56,estrellarse
estremecer,525.53,estremecer
estrenar,501.25,estrenar
estrenarse,577.66,estrenarse
estresar,495.69,estresar
estribar,486.77,estribar
estropear,495.61,estropear
estructurar,524.47,estructurar
estrujar,501.07,estrujar
estudiar,476.95,estudiar
estudiarse,529.37,estudiarse
eternizar,523.0,eternizar
etiquetar,480.21,etiquetar
europeizar,606.04,europeizar
evacuar,512.28,evacuar
evadir,513.99,evadir
evadirse,499.4,evadirse
evaluar,497.15,evaluar
evaluarse,477.01,evaluarse
evangelizar,567.97,evangelizar
evaporar,496.81,evaporar
evidenciar,534.97,evidenciar
evitar,489.14,evitar
evitarse,482.2,evitarse
evocar,518.58,evocar
evolucionar,482.3,evolucionar
exacerbar,549.76,exacerbar
exagerar,501.09,exagerar
exaltar,495.1,exaltar
examinar,508.85,examinar
examinarse,509.61,examinarse
exasperar,523.59,exasperar
excavar,528.23,excavar
exceder,509.0,exceder
exceptuar,533.64,exceptuar
excitar,507.25,excitar
excitarse,538.63,excitarse
exclamar,504.11,exclamar
excluir,489.79,excluir
excomulgar,563.94,excomulgar
excretar,518.29,excretar
exculpar,546.87,exculpar
excusar,490.83,excusar
execrar,618.61,execrar
exfoliar,547.53,exfoliar
exhalar,496.14,exhalar
exhibir,497.03,exhibir
exhibirse,529.77,exhibirse
exhortar,517.05,exhortar
exhumar,496.13,exhumar
exigir,491.91,exigir
exiliar,542.74,exiliar
exiliarse,525.31,exiliarse
eximir,504.11,eximir
existir,505.02,existir
exonerar,537.71,exonerar
exorcizar,574.49,exorcizar
expandir,496.03,expandir
expectorar,500.75,expectorar
expedir,505.87,expedir
expeler,512.73,expeler
expender,489.16,expender
experimentar,506.7,experimentar
experimentarse,545.5,experimentarse
expiar,498.21,expiar
expirar,490.43,expirar
explayar,543.72,explayar
explicar,476.44,explicar
explicarse,526.99,explicarse
explicitar,519.15,explicitar
explorar,493.89,explorar
explosionar,542.41,explosionar
explotar,478.04,explotar
exponer,498.09,exponer
exponerse,474.32,exponerse
exportar,490.06,exportar
expresar,499.63,expresar
expresarse,527.99,expresarse
exprimir,493.12,exprimir
expropiar,584.43,expropiar
expulsar,489.09,expulsar
expurgar,534.12,expurgar
extender,514.75,extender
extenderse,551.72,extenderse
extenuar,539.12,extenuar
exteriorizar,519.77,exteriorizar
exteriorizarse,547.98,exteriorizarse
exterminar,527.27,exterminar
extinguir,502.73,extinguir
extinguirse,508.91,extinguirse
extirpar,533.22,extirpar
extorsionar,564.14,extorsionar
extraditar,523.63,extraditar
extraer,493.6,extraer
extraerse,537.87,extraerse
extralimitarse,614.95,extralimitarse
extrañar,505.43,extranar
extrapolar,501.0,extrapolar
extraviar,519.54,extraviar
extremar,531.26,extremar
exudar,497.56,exudar
exultar,538.88,exultar
eyacular,520.83,eyacular
fabricar,477.09,fabricar
fabular,525.93,fabular
facilitar,479.37,facilitar
facturar,515.42,facturar
facultar,475.03,facultar
faenar,494.97,faenar
fagocitar,557.17,fagocitar
fallar,469.81,fallar
fallecer,500.34,fallecer
falsear,469.74,falsear
falsificar,554.4,falsificar
faltar,455.04,faltar
familiarizar,538.35,familiarizar
fanfarronear,567.95,fanfarronear
fantasear,572.96,fantasear
fardar,494.5,fardar
farfullar,524.99,farfullar
fascinar,508.5,fascinar
fastidiar,508.49,fastidiar
fastidiarse,599.7,fastidiarse
fatigar,509.51,fatigar
favorecer,486.58,favorecer
fechar,488.14,fechar
fecundar,512.39,fecundar
felicitar,519.54,felicitar
felicitarse,509.74,felicitarse
feminizar,515.19,feminizar
fenecer,576.62,fenecer
fermentar,512.06,fermentar
fertilizar,538.04,fertilizar
festejar,511.14,festejar
fiar,473.07,fiar
fiarse,520.12,fiarse
fibrilar,592.75,fibrilar
fichar,473.81,fichar
fidelizar,543.6,fidelizar
figurar,500.99,figurar
fijar,465.47,fijar
fijarse,471.1,fijarse
filmar,478.0,filmar
filosofar,514.91,filosofar
filtrar,504.03,filtrar
filtrarse,499.2,filtrarse
finalizar,521.57,finalizar
financiar,499.49,financiar
financiarse,555.95,financiarse
fingir,478.96,fingir
firmar,487.24,firmar
firmarse,534.42,firmarse
fiscalizar,544.94,fiscalizar
fisgar,469.01,fisgar
fisgonear,564.6,fisgonear
fisionar,493.37,fisionar
flagelar,523.99,flagelar
flagelarse,589.14,flagelarse
flamear,531.95,flamear
flanquear,554.09,flanquear
flaquear,494.64,flaquear
fletar,505.34,fletar
flexibilizar,553.83,flexibilizar
flexibilizarse,588.63,flexibilizarse
flexionar,504.68,flexionar
flexionarse,534.43,flexionarse
florear,502.03,florear
florecer,503.95,florecer
flotar,498.11,flotar
fluctuar,563.96,fluctuar
fluir,503.57,fluir
focalizar,521.45,focalizar
follar,512.14,follar
fomentar,481.33,fomentar
forcejear,555.54,forcejear
forjar,537.62,forjar
formalizar,487.34,formalizar
formalizarse,535.24,formalizarse
formar,485.33,formar
formarse,497.66,formarse
formatear,512.07,formatear
formular,476.5,formular
fornicar,522.88,fornicar
forrajear,562.01,forrajear
forrar,487.38,forrar
fortalecer,505.3,fortalecer
fortificar,529.57,fortificar
forzar,464.21,forzar
fosforescer,602.19,fosforescer
fotocopiar,518.26,fotocopiar
fotografiar,506.22,fotografiar
fotografiarse,577.93,fotografiarse
fracasar,497.92,fracasar
fraccionar,517.43,fraccionar
fracturar,482.88,fracturar
fragmentar,516.8,fragmentar
fragmentarse,560.98,fragmentarse
fraguar,507.1,fraguar
franquear,540.6,franquear
frasear,509.41,frasear
frecuentar,534.43,frecuentar
fregar,495.56,fregar
freír,493.34,freir
frenar,477.69,frenar
frivolizar,568.3,frivolizar
frotar,488.36,frotar
fructificar,581.85,fructificar
fruncir,480.72,fruncir
frustrar,480.64,frustrar
fugarse,500.18,fugarse
fulminar,525.3,fulminar
fumar,455.44,fumar
fumarse,461.53,fumarse
fumigar,521.35,fumigar
funcionar,476.72,funcionar
fundamentar,564.66,fundamentar
fundar,475.39,fundar
fundir,481.2,fundir
fundirse,500.06,fundirse
fusilar,445.51,fusilar
fusionar,498.96,fusionar
fusionarse,501.94,fusionarse
fustigar,482.68,fustigar
galantear,574.48,galantear
galardonar,575.37,galardonar
galopar,531.47,galopar
galvanizar,562.9,galvanizar
ganar,509.05,ganar
ganarse,517.76,ganarse
gandulear,604.68,gandulear
garabatear,555.9,garabatear
garantizar,500.03,garantizar
garantizarse,546.83,garantizarse
garlar,552.99,garlar
garrapatear,578.05,garrapatear
gasear,490.33,gasear
gastar,506.55,gastar
gastarse,533.44,gastarse
gatear,541.0,gatear
gemir,488.18,gemir
generalizar,492.3,generalizar
generalizarse,551.73,generalizarse
generar,464.32,generar
generarse,495.56,generarse
germinar,499.71,germinar
gestar,522.68,gestar
gestarse,565.99,gestarse
gesticular,551.37,gesticular
gestionar,479.31,gestionar
gimotear,553.09,gimotear
girar,510.17,girar
glasear,511.16,glasear
glorificar,526.74,glorificar
glosar,497.17,glosar
gobernar,533.91,gobernar
gobernarse,546.32,gobernarse
golear,534.3,golear
golpear,496.03,golpear
gorgotear,551.07,gorgotear
gorjear,527.28,gorjear
gorronear,571.71,gorronear
gotear,521.14,gotear
gozar,480.0,gozar
grabar,522.23,grabar
gradar,539.42,gradar
graduar,488.0,graduar
graduarse,527.13,graduarse
granar,485.15,granar
granizar,539.8,granizar
granular,512.16,granular
grapar,495.05,grapar
gratificar,539.59,gratificar
gravar,505.25,gravar
gravitar,509.67,gravitar
graznar,512.95,graznar
gritar,493.25,gritar
gruñir,510.57,grunir
guardar,492.19,guardar
guardarse,511.34,guardarse
guarecer,589.01,guarecer
guarnecer,549.69,guarnecer
guasearse,643.91,guasearse
guiar,533.31,guiar
guillotinar,614.77,guillotinar
guiñar,522.06,guinar
guisar,539.54,guisar
gustar,497.2,gustar
haber,510.66,haber
haberse,506.27,haberse
habilitar,498.25,habilitar
habitar,500.26,habitar
habituar,512.66,habituar
hablar,496.25,hablar
hablarse,502.86,hablarse
hacer,478.99,hacer
hacerse,483.35,hacerse
hacinar,497.76,hacinar
hallar,519.68,hallar
hallarse,533.72,hallarse
hartar,525.22,hartar
hartarse,547.53,hartarse
hechizar,511.91,hechizar
heder,505.1,heder
helar,502.31,helar
helarse,545.95,helarse
hender,489.85,hender
heredar,524.22,heredar
herir,502.9,herir
hermanar,518.14,hermanar
herniarse,603.49,herniarse
herrar,565.41,herrar
hervir,473.42,hervir
hibernar,539.33,hibernar
hibridar,562.85,hibridar
hidratar,538.71,hidratar
hidrolizar,557.28,hidrolizar
higienizar,558.09,higienizar
hilar,523.94,hilar
hilvanar,583.4,hilvanar
hincar,531.16,hincar
hinchar,492.98,hinchar
hincharse,525.53,hincharse
hipar,527.11,hipar
hipnotizar,532.38,hipnotizar
hipotecar,552.0,hipotecar
hispanizar,570.12,hispanizar
hojear,500.96,hojear
holgar,525.66,holgar
holgazanear,597.3,holgazanear
hollar,540.14,hollar
homenajear,566.82,homenajear
homogeneizar,582.81,homogeneizar
homologar,552.05,homologar
hondear,542.65,hondear
honrar,537.62,honrar
horadar,552.11,horadar
hormiguear,530.79,hormiguear
hornear,520.06,hornear
horrorizar,553.08,horrorizar
hospedar,517.19,hospedar
hospitalizar,532.74,hospitalizar
hostigar,504.11,hostigar
hozar,520.7,hozar
huir,514.27,huir
humanizar,522.06,humanizar
humear,533.72,humear
humedecer,534.69,humedecer
humillar,486.59,humillar
humillarse,507.37,humillarse
hundir,507.73,hundir
hundirse,524.61,hundirse
hurgar,512.01,hurgar
hurtar,505.02,hurtar
husmear,514.65,husmear
idealizar,548.31,idealizar
idear,496.37,idear
identificar,500.42,identificar
identificarse,531.55,identificarse
ideologizar,544.14,ideologizar
idiotizar,519.13,idiotizar
idolatrar,548.41,idolatrar
ignorar,507.8,ignorar
igualar,512.18,igualar
iluminar,498.75,iluminar
ilusionar,503.52,ilusionar
ilustrar,516.04,ilustrar
imaginar,483.98,imaginar
imaginarse,519.4,imaginarse
imantar,521.23,imantar
imbuirse,536.87,imbuirse
imitar,511.43,imitar
imitarse,519.63,imitarse
impacientar,517.67,impacientar
impactar,509.71,impactar
impartir,473.51,impartir
impedir,496.6,impedir
impeler,528.89,impeler
imperar,469.46,imperar
impermeabilizar,593.3,impermeabilizar
implantar,480.9,implantar
implementar,548.49,implementar
implicar,522.21,implicar
implorar,482.82,implorar
imponer,474.67,imponer
imponerse,499.83,imponerse
importar,479.98,importar
importunar,507.02,importunar
imposibilitar,506.13,imposibilitar
impregnar,518.53,impregnar
impresionar,489.58,impresionar
imprimir,481.92,imprimir
imprimirse,501.66,imprimirse
improvisar,505.13,improvisar
impugnar,526.62,impugnar
impulsar,515.94,impulsar
imputar,491.5,imputar
imputarse,479.74,imputarse
inactivar,519.25,inactivar
inaugurar,568.94,inaugurar
incapacitar,523.92,incapacitar
incautar,517.0,incautar
incendiar,518.4,incendiar
incentivar,569.35,incentivar
incidir,522.01,incidir
incinerar,568.27,incinerar
incinerarse,579.77,incinerarse
incitar,503.01,incitar
inclinar,491.8,inclinar
inclinarse,492.43,inclinarse
incluir,504.89,incluir
incluirse,481.68,incluirse
incoar,520.63,incoar
incomodar,506.62,incomodar
incomunicar,554.04,incomunicar
incordiar,514.97,incordiar
incorporar,521.12,incorporar
incorporarse,504.02,incorporarse
incrementar,524.94,incrementar
incrementarse,555.35,incrementarse
increpar,521.27,increpar
incriminar,476.59,incriminar
incrustar,518.58,incrustar
incubar,480.51,incubar
inculcar,478.52,inculcar
inculpar,506.42,inculpar
incumplir,491.72,incumplir
incurrir,489.05,incurrir
incursionar,591.71,incursionar
indagar,524.75,indagar
indemnizar,540.41,indemnizar
indemnizarse,554.62,indemnizarse
independizar,536.22,independizar
independizarse,577.58,independizarse
indicar,472.9,indicar
indicarse,530.22,indicarse
indignar,501.94,indignar
individualizar,515.43,individualizar
individualizarse,505.14,individualizarse
inducir,530.15,inducir
indultar,507.11,indultar
industrializar,530.77,industrializar
infectar,488.91,infectar
infectarse,550.72,infectarse
inferir,471.72,inferir
infestar,512.91,infestar
infiltrar,548.48,infiltrar
infiltrarse,491.23,infiltrarse
inflamar,515.42,inflamar
inflar,507.68,inflar
inflexionar,569.44,inflexionar
infligir,504.85,infligir
influenciar,509.98,influenciar
influir,487.52,influir
informar,469.54,informar
informarse,526.58,informarse
informatizar,526.14,informatizar
infravalorar,512.16,infravalorar
infringir,506.05,infringir
infundir,504.6,infundir
ingeniar,514.73,ingeniar
ingerir,499.85,ingerir
ingresar,535.59,ingresar
inhabilitar,540.11,inhabilitar
inhalar,500.0,inhalar
inhibir,482.68,inhibir
inhumar,568.89,inhumar
inicializar,559.72,inicializar
iniciar,510.08,iniciar
iniciarse,517.53,iniciarse
injertar,540.94,injertar
injuriar,551.95,injuriar
inmigrar,572.33,inmigrar
inmiscuir,657.25,inmiscuir
inmiscuirse,608.79,inmiscuirse
inmolar,502.59,inmolar
inmolarse,520.74,inmolarse
inmortalizar,539.09,inmortalizar
inmovilizar,547.02,inmovilizar
inmunizar,524.23,inmunizar
inmutarse,513.98,inmutarse
innovar,515.65,innovar
inocular,547.23,inocular
inquietar,503.19,inquietar
inquirir,535.78,inquirir
inscribir,495.82,inscribir
inscribirse,551.78,inscribirse
insertar,506.96,insertar
insertarse,558.27,insertarse
insinuar,490.1,insinuar
insistir,500.83,insistir
inspeccionar,568.39,inspeccionar
inspirar,463.82,inspirar
instalar,521.75,instalar
instalarse,487.79,instalarse
instar,534.78,instar
instaurar,543.39,instaurar
instaurarse,540.14,instaurarse
instigar,506.29,instigar
institucionalizar,584.27,institucionalizar
instituir,542.87,instituir
instruir,515.6,instruir
instrumentalizar,584.23,instrumentalizar
instrumentar,539.08,instrumentar
insuflar,538.57,insuflar
insultar,463.85,insultar
integrar,497.73,integrar
integrarse,513.64,integrarse
intensificar,556.86,intensificar
intentar,506.04,intentar
interaccionar,561.0,interaccionar
intercalar,541.54,intercalar
intercambiar,507.32,intercambiar
intercambiarse,528.22,intercambiarse
interceder,520.49,interceder
interceptar,561.03,interceptar
interesar,529.25,interesar
interesarse,548.83,interesarse
interferir,559.07,interferir
interiorizar,512.54,interiorizar
internacionalizar,568.16,internacionalizar
internar,511.6,internar
internarse,522.11,internarse
interpelar,535.92,interpelar
interpolar,555.52,interpolar
interponer,526.94,interponer
interponerse,586.76,interponerse
interpretar,488.29,interpretar
interpretarse,532.47,interpretarse
interrogar,516.36,interrogar
interrumpir,554.0,interrumpir
intervenir,482.72,intervenir
intimar,487.74,intimar
intimidar,507.71,intimidar
intoxicar,498.63,intoxicar
intoxicarse,529.55,intoxicarse
intranquilizar,573.64,intranquilizar
intrigar,474.58,intrigar
introducir,473.9,introducir
introducirse,518.6,introducirse
intubar,497.61,intubar
intuir,502.25,intuir
inundar,541.09,inundar
inutilizar,546.12,inutilizar
invadir,480.87,invadir
invalidar,513.23,invalidar
inventar,499.44,inventar
inventarse,497.28,inventarse
invertir,482.5,invertir
invertirse,539.56,invertirse
investigar,503.31,investigar
investigarse,528.28,investigarse
investir,503.02,investir
invitar,494.0,invitar
invocar,527.5,invocar
involucrar,507.52,involucrar
involucrarse,541.93,involucrarse
inyectar,520.56,inyectar
inyectarse,566.67,inyectarse
ionizar,545.08,ionizar
ir,513.95,ir
ironizar,564.6,ironizar
irradiar,512.57,irradiar
irrigar,523.24,irrigar
irritar,504.55,irritar
irritarse,559.8,irritarse
irrumpir,491.43,irrumpir
irse,464.83,irse
jadear,469.76,jadear
jalar,462.17,jalar
jalear,472.5,jalear
jalonar,503.06,jalonar
jerarquizar,571.11,jerarquizar
joder,466.76,joder
joderse,471.91,joderse
jorobar,533.07,jorobar
jubilar,511.01,jubilar
jubilarse,505.54,jubilarse
jugar,467.36,jugar
jugarse,486.27,jugarse
juguetear,508.5,juguetear
juntar,449.93,juntar
juntarse,500.84,juntarse
jurar,485.01,jurar
justar,444.13,justar
justificar,489.79,justificar
justificarse,529.47,justificarse
juzgar,510.85,juzgar
kilometrar,552.68,kilometrar
laborear,536.4,laborear
labrar,477.63,labrar
lacar,467.45,lacar
lacerar,576.26,lacerar
ladear,546.01,ladear
ladrar,476.0,ladrar
lagrimear,560.98,lagrimear
lamentar,522.13,lamentar
lamentarse,527.55,lamentarse
lamer,488.01,lamer
laminar,487.35,laminar
laminarse,548.11,laminarse
languidecer,583.85,languidecer
lanzar,469.65,lanzar
lanzarse,505.97,lanzarse
lapidar,499.57,lapidar
largar,515.83,largar
largarse,523.74,largarse
lastimar,488.05,lastimar
lastrar,497.99,lastrar
latir,490.21,latir
lavar,482.43,lavar
lavarse,514.77,lavarse
laxar,509.64,laxar
lazar,464.29,lazar
leer,464.74,leer
leerse,485.25,leerse
legalizar,518.86,legalizar
legalizarse,577.34,legalizarse
legar,521.74,legar
legislar,540.31,legislar
legitimar,515.03,legitimar
lesionar,513.33,lesionar
lesionarse,544.01,lesionarse
levantar,511.84,levantar
levantarse,509.29,levantarse
levitar,476.71,levitar
liar,507.69,liar
liarse,502.28,liarse
libar,505.46,libar
liberalizar,522.92,liberalizar
liberar,507.38,liberar
liberarse,534.95,liberarse
librar,505.59,librar
librarse,521.26,librarse
licenciar,496.53,licenciar
licenciarse,556.94,licenciarse
licuar,507.98,licuar
liderar,501.98,liderar
lidiar,513.68,lidiar
ligar,483.28,ligar
ligarse,528.73,ligarse
lijar,504.14,lijar
limar,495.85,limar
limitar,468.3,limitar
limitarse,535.11,limitarse
limpiar,474.6,limpiar
limpiarse,493.91,limpiarse
linchar,489.78,linchar
lindar,493.2,lindar
liquidar,485.5,liquidar
lisiar,468.19,lisiar
litigar,573.7,litigar
llamar,473.2,llamar
llamarse,521.93,llamarse
llamear,587.67,llamear
llegar,490.33,llegar
llegarse,525.58,llegarse
llenar,510.07,llenar
llenarse,504.48,llenarse
llevar,487.8,llevar
llevarse,520.01,llevarse
llorar,493.04,llorar
lloriquear,562.84,lloriquear
llover,491.22,llover
lloviznar,566.2,lloviznar
loar,469.84,loar
localizar,518.2,localizar
lograr,507.49,lograr
lograrse,506.39,lograrse
lubricar,507.18,lubricar
luchar,501.84,luchar
lucir,452.63,lucir
lucirse,489.35,lucirse
lustrar,524.16,lustrar
macerar,572.29,macerar
machacar,528.48,machacar
madrugar,478.29,madrugar
madurar,492.5,madurar
magnetizar,576.27,magnetizar
magnificar,512.56,magnificar
magrear,544.45,magrear
magullar,504.37,magullar
maldecir,537.13,maldecir
malentender,576.57,malentender
malgastar,499.04,malgastar
maliciar,503.69,maliciar
malinterpretar,615.86,malinterpretar
malmeter,568.72,malmeter
malograr,523.88,malograr
maltear,544.13,maltear
maltraer,562.66,maltraer
maltratar,492.37,maltratar
malvender,555.32,malvender
malversar,528.31,malversar
malvivir,525.73,malvivir
mamar,517.27,mamar
manar,489.82,manar
manchar,502.01,manchar
mancharse,517.8,mancharse
mancillar,506.51,mancillar
mandar,494.13,mandar
manejar,503.1,manejar
manejarse,502.84,manejarse
mangar,502.74,mangar
maniatar,528.78,maniatar
manifestar,497.78,manifestar
manifestarse,517.44,manifestarse
maniobrar,570.25,maniobrar
manipular,481.85,manipular
manosear,491.68,manosear
manotear,575.66,manotear
mantener,507.94,mantener
mantenerse,516.6,mantenerse
manufacturar,546.18,manufacturar
maquillar,509.92,maquillar
maquillarse,487.54,maquillarse
maquinar,495.59,maquinar
maravillar,554.05,maravillar
marcar,467.05,marcar
marcarse,514.49,marcarse
marchar,489.17,marchar
marcharse,508.47,marcharse
marchitar,498.04,marchitar
marear,460.76,marear
marearse,510.94,marearse
marginar,498.61,marginar
martillar,510.94,martillar
martillear,565.2,martillear
martirizar,523.99,martirizar
masacrar,566.03,masacrar
masajear,492.51,masajear
mascar,474.68,mascar
mascullar,533.14,mascullar
masticar,504.69,masticar
masturbar,540.74,masturbar
masturbarse,550.07,masturbarse
matar,484.2,matar
matarse,488.35,matarse
matear,488.3,matear
materializar,536.07,materializar
materializarse,585.57,materializarse
matizar,519.0,matizar
matizarse,555.42,matizarse
matricular,525.36,matricular
matricularse,547.28,matricularse
matrimoniar,530.56,matrimoniar
maullar,508.21,maullar
maximizar,519.64,maximizar
mear,481.61,mear
mecanizar,549.93,mecanizar
mecanografiar,580.05,mecanografiar
mecer,484.6,mecer
mediar,510.09,mediar
mediatizar,578.41,mediatizar
medir,456.96,medir
medirse,482.0,medirse
meditar,480.67,meditar
medrar,524.35,medrar
